,x,y,count
0,0.0,0.0,0
1,0.0,0.25,0
2,0.0,0.5,324
3,0.0,0.75,2106
4,0.0,1.0,2978
5,0.0,1.25,2825
6,0.0,1.5,2852
7,0.0,1.75,3555
8,0.0,2.0,6706
9,0.0,2.25,8813
10,0.0,2.5,8531
11,0.0,2.75,7192
12,0.0,3.0,5434
13,0.0,3.25,3498
14,0.0,3.5,1684
15,0.0,3.75,285
16,0.25,0.0,0
17,0.25,0.25,78
18,0.25,0.5,599
19,0.25,0.75,2492
20,0.25,1.0,6951
21,0.25,1.25,12142
22,0.25,1.5,14711
23,0.25,1.75,12758
24,0.25,2.0,8106
25,0.25,2.25,3765
26,0.25,2.5,1780
27,0.25,2.75,911
28,0.25,3.0,453
29,0.25,3.25,319
30,0.25,3.5,114
31,0.25,3.75,3
32,0.5,0.0,9091
33,0.5,0.25,12998
34,0.5,0.5,19058
35,0.5,0.75,20983
36,0.5,1.0,16855
37,0.5,1.25,9596
38,0.5,1.5,4204
39,0.5,1.75,2143
40,0.5,2.0,1105
41,0.5,2.25,552
42,0.5,2.5,169
43,0.5,2.75,41
44,0.5,3.0,2
45,0.5,3.25,0
46,0.5,3.5,0
47,0.5,3.75,0
48,0.75,0.0,43080
49,0.75,0.25,32251
50,0.75,0.5,16344
51,0.75,0.75,7667
52,0.75,1.0,3788
53,0.75,1.25,1805
54,0.75,1.5,857
55,0.75,1.75,353
56,0.75,2.0,117
57,0.75,2.25,74
58,0.75,2.5,39
59,0.75,2.75,6
60,0.75,3.0,4
61,0.75,3.25,0
62,0.75,3.5,0
63,0.75,3.75,0
64,1.0,0.0,11353
65,1.0,0.25,15409
66,1.0,0.5,20131
67,1.0,0.75,19767
68,1.0,1.0,15283
69,1.0,1.25,7978
70,1.0,1.5,2198
71,1.0,1.75,155
72,1.0,2.0,0
73,1.0,2.25,0
74,1.0,2.5,9
75,1.0,2.75,14
76,1.0,3.0,6
77,1.0,3.25,0
78,1.0,3.5,0
79,1.0,3.75,0
80,1.25,0.0,2800
81,1.25,0.25,3071
82,1.25,0.5,3429
83,1.25,0.75,5091
84,1.25,1.0,7624
85,1.25,1.25,10943
86,1.25,1.5,11739
87,1.25,1.75,8719
88,1.25,2.0,3732
89,1.25,2.25,499
90,1.25,2.5,8
91,1.25,2.75,0
92,1.25,3.0,0
93,1.25,3.25,0
94,1.25,3.5,0
95,1.25,3.75,0
96,1.5,0.0,0
97,1.5,0.25,1
98,1.5,0.5,31
99,1.5,0.75,243
100,1.5,1.0,602
101,1.5,1.25,1521
102,1.5,1.5,2965
103,1.5,1.75,4118
104,1.5,2.0,4462
105,1.5,2.25,3178
106,1.5,2.5,1043
107,1.5,2.75,146
108,1.5,3.0,14
109,1.5,3.25,3
110,1.5,3.5,0
111,1.5,3.75,0
112,1.75,0.0,0
113,1.75,0.25,0
114,1.75,0.5,0
115,1.75,0.75,0
116,1.75,1.0,0
117,1.75,1.25,0
118,1.75,1.5,0
119,1.75,1.75,11
120,1.75,2.0,252
121,1.75,2.25,659
122,1.75,2.5,688
123,1.75,2.75,233
124,1.75,3.0,44
125,1.75,3.25,4
126,1.75,3.5,0
127,1.75,3.75,0
128,2.0,0.0,0
129,2.0,0.25,0
130,2.0,0.5,0
131,2.0,0.75,0
132,2.0,1.0,0
133,2.0,1.25,0
134,2.0,1.5,0
135,2.0,1.75,0
136,2.0,2.0,0
137,2.0,2.25,0
138,2.0,2.5,1
139,2.0,2.75,44
140,2.0,3.0,62
141,2.0,3.25,23
142,2.0,3.5,0
143,2.0,3.75,0
144,2.25,0.0,0
145,2.25,0.25,0
146,2.25,0.5,0
147,2.25,0.75,0
148,2.25,1.0,0
149,2.25,1.25,0
150,2.25,1.5,0
151,2.25,1.75,0
152,2.25,2.0,0
153,2.25,2.25,0
154,2.25,2.5,0
155,2.25,2.75,0
156,2.25,3.0,0
157,2.25,3.25,5
158,2.25,3.5,6
159,2.25,3.75,2
160,2.5,0.0,0
161,2.5,0.25,0
162,2.5,0.5,0
163,2.5,0.75,0
164,2.5,1.0,0
165,2.5,1.25,0
166,2.5,1.5,0
167,2.5,1.75,0
168,2.5,2.0,0
169,2.5,2.25,0
170,2.5,2.5,0
171,2.5,2.75,0
172,2.5,3.0,0
173,2.5,3.25,0
174,2.5,3.5,0
175,2.5,3.75,0
176,2.75,0.0,0
177,2.75,0.25,0
178,2.75,0.5,0
179,2.75,0.75,0
180,2.75,1.0,0
181,2.75,1.25,0
182,2.75,1.5,0
183,2.75,1.75,0
184,2.75,2.0,0
185,2.75,2.25,0
186,2.75,2.5,0
187,2.75,2.75,0
188,2.75,3.0,0
189,2.75,3.25,0
190,2.75,3.5,0
191,2.75,3.75,0
192,3.0,0.0,0
193,3.0,0.25,0
194,3.0,0.5,0
195,3.0,0.75,0
196,3.0,1.0,0
197,3.0,1.25,0
198,3.0,1.5,0
199,3.0,1.75,0
200,3.0,2.0,0
201,3.0,2.25,0
202,3.0,2.5,0
203,3.0,2.75,0
204,3.0,3.0,0
205,3.0,3.25,0
206,3.0,3.5,0
207,3.0,3.75,0
208,3.25,0.0,0
209,3.25,0.25,0
210,3.25,0.5,0
211,3.25,0.75,0
212,3.25,1.0,0
213,3.25,1.25,0
214,3.25,1.5,0
215,3.25,1.75,0
216,3.25,2.0,0
217,3.25,2.25,0
218,3.25,2.5,0
219,3.25,2.75,0
220,3.25,3.0,0
221,3.25,3.25,0
222,3.25,3.5,0
223,3.25,3.75,0
224,3.5,0.0,0
225,3.5,0.25,0
226,3.5,0.5,0
227,3.5,0.75,0
228,3.5,1.0,0
229,3.5,1.25,0
230,3.5,1.5,0
231,3.5,1.75,0
232,3.5,2.0,0
233,3.5,2.25,0
234,3.5,2.5,0
235,3.5,2.75,0
236,3.5,3.0,0
237,3.5,3.25,0
238,3.5,3.5,0
239,3.5,3.75,0
240,3.75,0.0,0
241,3.75,0.25,0
242,3.75,0.5,0
243,3.75,0.75,0
244,3.75,1.0,0
245,3.75,1.25,0
246,3.75,1.5,0
247,3.75,1.75,0
248,3.75,2.0,0
249,3.75,2.25,0
250,3.75,2.5,0
251,3.75,2.75,0
252,3.75,3.0,0
253,3.75,3.25,0
254,3.75,3.5,0
255,3.75,3.75,0
