,x,y,count
0,0.0,0.0,0
1,0.0,0.25,26
2,0.0,0.5,657
3,0.0,0.75,2571
4,0.0,1.0,2881
5,0.0,1.25,2787
6,0.0,1.5,2720
7,0.0,1.75,2680
8,0.0,2.0,3108
9,0.0,2.25,3206
10,0.0,2.5,3305
11,0.0,2.75,3319
12,0.0,3.0,3307
13,0.0,3.25,2763
14,0.0,3.5,1702
15,0.0,3.75,410
16,0.25,0.0,49
17,0.25,0.25,206
18,0.25,0.5,1134
19,0.25,0.75,2592
20,0.25,1.0,2916
21,0.25,1.25,3320
22,0.25,1.5,2994
23,0.25,1.75,3101
24,0.25,2.0,3426
25,0.25,2.25,3504
26,0.25,2.5,3349
27,0.25,2.75,2979
28,0.25,3.0,2160
29,0.25,3.25,1167
30,0.25,3.5,279
31,0.25,3.75,4
32,0.5,0.0,3216
33,0.5,0.25,3890
34,0.5,0.5,4977
35,0.5,0.75,5765
36,0.5,1.0,6223
37,0.5,1.25,5959
38,0.5,1.5,5755
39,0.5,1.75,5442
40,0.5,2.0,4810
41,0.5,2.25,3828
42,0.5,2.5,2863
43,0.5,2.75,1782
44,0.5,3.0,948
45,0.5,3.25,272
46,0.5,3.5,15
47,0.5,3.75,0
48,0.75,0.0,14206
49,0.75,0.25,14431
50,0.75,0.5,14381
51,0.75,0.75,13022
52,0.75,1.0,10964
53,0.75,1.25,8914
54,0.75,1.5,6899
55,0.75,1.75,5103
56,0.75,2.0,3450
57,0.75,2.25,2119
58,0.75,2.5,1314
59,0.75,2.75,661
60,0.75,3.0,156
61,0.75,3.25,13
62,0.75,3.5,0
63,0.75,3.75,0
64,1.0,0.0,22707
65,1.0,0.25,22237
66,1.0,0.5,19953
67,1.0,0.75,16443
68,1.0,1.0,12949
69,1.0,1.25,10181
70,1.0,1.5,8146
71,1.0,1.75,6137
72,1.0,2.0,4251
73,1.0,2.25,2563
74,1.0,2.5,1280
75,1.0,2.75,468
76,1.0,3.0,88
77,1.0,3.25,10
78,1.0,3.5,0
79,1.0,3.75,0
80,1.25,0.0,19079
81,1.25,0.25,17418
82,1.25,0.5,15433
83,1.25,0.75,13701
84,1.25,1.0,11544
85,1.25,1.25,9587
86,1.25,1.5,7971
87,1.25,1.75,6272
88,1.25,2.0,4682
89,1.25,2.25,3256
90,1.25,2.5,2035
91,1.25,2.75,943
92,1.25,3.0,290
93,1.25,3.25,60
94,1.25,3.5,13
95,1.25,3.75,8
96,1.5,0.0,1629
97,1.5,0.25,1971
98,1.5,0.5,2678
99,1.5,0.75,3401
100,1.5,1.0,3866
101,1.5,1.25,4358
102,1.5,1.5,4360
103,1.5,1.75,4090
104,1.5,2.0,3758
105,1.5,2.25,2875
106,1.5,2.5,1648
107,1.5,2.75,556
108,1.5,3.0,156
109,1.5,3.25,35
110,1.5,3.5,37
111,1.5,3.75,29
112,1.75,0.0,0
113,1.75,0.25,0
114,1.75,0.5,0
115,1.75,0.75,0
116,1.75,1.0,0
117,1.75,1.25,3
118,1.75,1.5,13
119,1.75,1.75,20
120,1.75,2.0,39
121,1.75,2.25,45
122,1.75,2.5,56
123,1.75,2.75,30
124,1.75,3.0,8
