,x,y,count
0,0.0,0.0,22
1,0.0,0.25,32
2,0.0,0.5,12
3,0.0,0.75,18
4,0.0,1.0,25
5,0.0,1.25,18
6,0.0,1.5,10
7,0.0,1.75,2
8,0.0,2.0,5
9,0.0,2.25,3
10,0.0,2.5,10
11,0.0,2.75,0
12,0.0,3.0,8
13,0.0,3.25,2
14,0.0,3.5,7
15,0.0,3.75,10
16,0.25,0.0,23
17,0.25,0.25,15
18,0.25,0.5,10
19,0.25,0.75,12
20,0.25,1.0,21
21,0.25,1.25,20
22,0.25,1.5,14
23,0.25,1.75,3
24,0.25,2.0,5
25,0.25,2.25,7
26,0.25,2.5,6
27,0.25,2.75,6
28,0.25,3.0,3
29,0.25,3.25,7
30,0.25,3.5,14
31,0.25,3.75,14
32,0.5,0.0,22
33,0.5,0.25,20
34,0.5,0.5,11
35,0.5,0.75,15
36,0.5,1.0,19
37,0.5,1.25,26
38,0.5,1.5,8
39,0.5,1.75,8
40,0.5,2.0,2
41,0.5,2.25,3
42,0.5,2.5,6
43,0.5,2.75,4
44,0.5,3.0,5
45,0.5,3.25,9
46,0.5,3.5,9
47,0.5,3.75,12
48,0.75,0.0,18
49,0.75,0.25,14
50,0.75,0.5,10
51,0.75,0.75,12
52,0.75,1.0,20
53,0.75,1.25,19
54,0.75,1.5,12
55,0.75,1.75,8
56,0.75,2.0,3
57,0.75,2.25,6
58,0.75,2.5,7
59,0.75,2.75,6
60,0.75,3.0,3
61,0.75,3.25,5
62,0.75,3.5,6
63,0.75,3.75,14
64,1.0,0.0,20
65,1.0,0.25,10
66,1.0,0.5,12
67,1.0,0.75,16
68,1.0,1.0,19
69,1.0,1.25,15
70,1.0,1.5,10
71,1.0,1.75,6
72,1.0,2.0,4
73,1.0,2.25,5
74,1.0,2.5,7
75,1.0,2.75,7
76,1.0,3.0,6
77,1.0,3.25,3
78,1.0,3.5,9
79,1.0,3.75,6
80,1.25,0.0,9
81,1.25,0.25,20
82,1.25,0.5,10
83,1.25,0.75,18
84,1.25,1.0,22
85,1.25,1.25,10
86,1.25,1.5,12
87,1.25,1.75,5
88,1.25,2.0,2
89,1.25,2.25,2
90,1.25,2.5,3
91,1.25,2.75,5
92,1.25,3.0,4
93,1.25,3.25,4
94,1.25,3.5,5
95,1.25,3.75,9
96,1.5,0.0,26
97,1.5,0.25,17
98,1.5,0.5,18
99,1.5,0.75,19
100,1.5,1.0,20
101,1.5,1.25,5
102,1.5,1.5,11
103,1.5,1.75,4
104,1.5,2.0,6
105,1.5,2.25,4
106,1.5,2.5,0
107,1.5,2.75,2
108,1.5,3.0,4
109,1.5,3.25,8
110,1.5,3.5,16
111,1.5,3.75,3
112,1.75,0.0,30
113,1.75,0.25,32
114,1.75,0.5,29
115,1.75,0.75,19
116,1.75,1.0,12
117,1.75,1.25,17
118,1.75,1.5,7
119,1.75,1.75,3
120,1.75,2.0,6
121,1.75,2.25,2
