,ep_phi_increase_times,iteration,algorithm,num_run
0,11.600000381469727,0.0,FSAC-A,0
1,11.540000343322754,1.0,FSAC-A,0
2,10.466000310182572,2.0,FSAC-A,0
3,9.49940028035641,3.0,FSAC-A,0
4,8.609460254704954,4.0,FSAC-A,0
5,7.848514229234459,5.0,FSAC-A,0
6,7.183662811079385,6.0,FSAC-A,0
7,6.5252965323556325,7.0,FSAC-A,0
8,5.992766883888441,8.0,FSAC-A,0
9,5.41349019579762,9.0,FSAC-A,0
10,4.932141178602044,10.0,FSAC-A,0
11,4.518927061933932,11.0,FSAC-A,0
12,4.827034346203796,12.0,FSAC-A,0
13,4.624330906815045,13.0,FSAC-A,0
14,4.241897817325634,14.0,FSAC-A,0
15,3.9577080332088848,15.0,FSAC-A,0
16,3.601937230484043,16.0,FSAC-A,0
17,3.341743507435639,17.0,FSAC-A,0
18,3.167569159076261,18.0,FSAC-A,0
19,2.8908122437646813,19.0,FSAC-A,0
20,2.821731024156585,20.0,FSAC-A,0
21,2.5995579241251123,21.0,FSAC-A,0
22,2.4196021329046937,22.0,FSAC-A,0
23,2.1976419199122477,23.0,FSAC-A,0
24,2.0378777303052087,24.0,FSAC-A,0
25,1.8940899596588736,25.0,FSAC-A,0
26,1.8046809636929864,26.0,FSAC-A,0
27,1.8442128720920594,27.0,FSAC-A,0
28,2.13979160395634,28.0,FSAC-A,0
29,1.9658124441567522,29.0,FSAC-A,0
30,1.969231199741077,30.0,FSAC-A,0
31,13.600000381469727,0.0,FSAC-A,1
32,13.440000343322755,1.0,FSAC-A,1
33,12.376000304222108,2.0,FSAC-A,1
34,11.21840027499199,3.0,FSAC-A,1
35,10.156560249876978,4.0,FSAC-A,1
36,9.760904205815795,5.0,FSAC-A,1
37,9.544813775697472,6.0,FSAC-A,1
38,8.710332402896096,7.0,FSAC-A,1
39,8.099299153069744,8.0,FSAC-A,1
40,7.369369238954862,9.0,FSAC-A,1
41,6.692432317443561,10.0,FSAC-A,1
42,6.043189085997229,11.0,FSAC-A,1
43,5.5988701797816915,12.0,FSAC-A,1
44,5.118983162995615,13.0,FSAC-A,1
45,5.067084837159311,14.0,FSAC-A,1
46,5.100376362980123,15.0,FSAC-A,1
47,5.030338736218854,16.0,FSAC-A,1
48,4.867304872133712,17.0,FSAC-A,1
49,5.580574384920341,18.0,FSAC-A,1
50,6.062516908281335,19.0,FSAC-A,1
51,5.616265219837387,20.0,FSAC-A,1
52,5.494638707390392,21.0,FSAC-A,1
53,5.165174841419724,22.0,FSAC-A,1
54,4.748657357277751,23.0,FSAC-A,1
55,4.513791631086719,24.0,FSAC-A,1
56,4.522412458441305,25.0,FSAC-A,1
57,4.55017123167066,26.0,FSAC-A,1
58,4.0951541085035945,27.0,FSAC-A,1
59,3.7056386979512586,28.0,FSAC-A,1
60,3.3350748281561327,29.0,FSAC-A,1
61,3.061567347724705,30.0,FSAC-A,1
62,4.0,0.0,FSAC-A,2
63,3.680000001192093,1.0,FSAC-A,2
64,3.372000003457069,2.0,FSAC-A,2
65,3.114800004303455,3.0,FSAC-A,2
66,2.9233200086414812,4.0,FSAC-A,2
67,2.7309880077773334,5.0,FSAC-A,2
68,2.9378892260730867,6.0,FSAC-A,2
69,2.724100304657871,7.0,FSAC-A,2
70,2.49169027478813,8.0,FSAC-A,2
71,2.282521247905364,9.0,FSAC-A,2
72,2.0942691237108737,10.0,FSAC-A,2
73,1.9648422125318794,11.0,FSAC-A,2
74,1.8483579924707845,12.0,FSAC-A,2
75,1.7035221938197525,13.0,FSAC-A,2
76,1.6531699792061487,14.0,FSAC-A,2
77,1.5278529818815803,15.0,FSAC-A,2
78,1.4550676848855153,16.0,FSAC-A,2
79,1.5695609068602205,17.0,FSAC-A,2
80,1.4326048164722216,18.0,FSAC-A,2
81,1.3093443351230227,19.0,FSAC-A,2
82,1.6384098920739774,20.0,FSAC-A,2
83,1.4945689031646028,21.0,FSAC-A,2
84,1.4051120152323284,22.0,FSAC-A,2
85,1.2846008140071188,23.0,FSAC-A,2
86,1.156140732606407,24.0,FSAC-A,2
87,1.100526661729952,25.0,FSAC-A,2
88,1.0104739958549802,26.0,FSAC-A,2
89,1.0294266010378537,27.0,FSAC-A,2
90,0.9464839412320915,28.0,FSAC-A,2
91,1.1118355375721392,29.0,FSAC-A,2
92,1.0006519838149253,30.0,FSAC-A,2
